userName,reviews,score,thumbsUpCount,reviewCreatedVersion,at,sentiment,noun,dominant_topic,confidence,dominant_topic_theme
aris ris,filter urutan hilang filter diskon tolong hidupkan,1,220,8.3.5,2021-12-28 16:29:55,Negative,"['filter', 'hilang', 'filter', 'diskon', 'tolong', 'hidupkan']",0,0.06509805461353771,barang
Jejak Mas Zhemon,full wifi lemoott aplikasi terlemot dunia,1,0,8.3.5,2021-12-28 16:04:58,Negative,"['wifi', 'lemoott', 'aplikasi', 'terlemot', 'dunia']",3,0.9803803504052636,pembayaran
Windiane Theresia,respon keluhan bangey seller suspend proses pesan duit potong,1,0,8.3.5,2021-12-28 12:21:07,Negative,"['respon', 'keluhan', 'bangey', 'seller', 'suspend', 'proses', 'duit', 'potong']",4,0.36963863772211214,order
Fini Fitria,menyesal unduh enggak jelas enggak bisa chekout pesan dibatalkan enggak jelas enggak bisa enggak usah memaksakan memang benar belanja oren hijau install tidak beli sudah mengikuti prosedur tetap dibatalkan samp,1,0,8.3.5,2021-12-28 11:39:43,Negative,"['menyesal', 'unduh', 'chekout', 'memaksakan', 'belanja', 'oren', 'hijau', 'install', 'mengikuti', 'prosedur', 'dibatalkan', 'samp']",3,0.4797119724944821,pembayaran
agus mastiadi,menu pembatalan orderan melewati estimasi barang terima payah,1,0,missing,2021-12-28 10:57:46,Negative,"['menu', 'pembatalan', 'orderan', 'melewati', 'barang', 'terima', 'payah']",4,0.9859091229534783,order
pramudyaardana123,bubarkan aplikasi rugi saldo masuk direkening bank aplikasi bubar,1,0,8.3.5,2021-12-28 10:22:04,Negative,"['aplikasi', 'rugi', 'saldo', 'masuk', 'direkening', 'bank', 'aplikasi', 'bubar']",6,0.001537016454093667,akun
muhamad rickyroy,pesan barang seller aktip chat admin paking statusnya seperti pesan statusnya berubah solusi batalin dana kembalikan paylater paking solusi konsumen seller,1,2,8.3.5,2021-12-28 06:45:38,Negative,"['barang', 'seller', 'aktip', 'chat', 'admin', 'paking', 'statusnya', 'berubah', 'solusi', 'batalin', 'dana', 'kembalikan', 'paylater', 'paking', 'konsumen', 'seller']",4,0.5860032123515038,order
Andi Sanjaya,pengiriman respon kurir enggak toko chat barang dipick chat toko enggak dibalas kurir,1,0,8.3.5,2021-12-27 23:06:26,Negative,"['pengiriman', 'respon', 'kurir', 'toko', 'chat', 'barang', 'dipick', 'chat', 'toko', 'dibalas']",4,0.9900968128791096,order
Dark Magician,update paylater eror blank putih polos tolong diupdate benar,1,0,missing,2021-12-27 22:58:36,Negative,"['paylater', 'eror', 'blank', 'polos', 'diupdate']",1,0.4768337325058628,kredit
Yoseph Sura,tukang tipu order barang bayar lunas giliran barang kirim sesua nota,1,0,8.3.0,2021-12-27 20:50:50,Negative,"['tukang', 'tipu', 'order', 'barang', 'bayar', 'lunas', 'giliran', 'barang', 'kirim', 'nota']",3,0.3426449486266222,pembayaran
deddy dermawan,mending belanja shopee toko sahabat murah,1,0,7.4.0,2021-12-27 18:44:08,Negative,"['mending', 'belanja', 'shopee', 'toko', 'sahabat', 'murah']",5,0.7649208168630582,ongkir
Faizal Ardy,aplikasinya berat android terbaru saran pemesan produk kesehatan batasan kirim sesuai kurir pilih pesan sameday dikirim obat,1,132,8.3.5,2021-12-27 17:47:49,Negative,"['berat', 'android', 'terbaru', 'saran', 'produk', 'kesehatan', 'batasan', 'sesuai', 'kurir', 'pilih', 'dikirim', 'obat']",4,0.8502816202042139,order
Deri S,kupon welcome bonus berika sesuai syarat sudah laporan tanggapi,1,2,8.3.5,2021-12-27 15:15:14,Negative,"['kupon', 'bonus', 'sesuai', 'syarat', 'laporan', 'tanggapi']",0,0.6117004252683865,barang
Fajar Okta,jur belanja enggak daptar belanja bayar tempo tiadak keceawa ongkos kirim mahal fajar okta,1,0,8.3.0,2021-12-27 15:08:57,Negative,"['jur', 'belanja', 'daptar', 'belanja', 'bayar', 'tempo', 'tiadak', 'keceawa', 'ongkos', 'kirim', 'fajar', 'okta']",4,0.06777563146259549,order
Rahmat BLG,malas enggak bisa,1,0,missing,2021-12-27 14:04:37,Negative,['malas'],9,0.909069596515265,error
Deden Budiman,paylater pakai terus alamat terjangkau cargo aneh,1,0,8.3.5,2021-12-27 12:22:11,Negative,"['paylater', 'pakai', 'alamat', 'terjangkau', 'cargo', 'aneh']",3,0.1715712646478417,pembayaran
Okta Zaka,gratis ongkos kirim khayalan orderan sampai please brotek,1,0,8.3.5,2021-12-27 11:11:03,Negative,"['gratis', 'khayalan', 'please', 'brotek']",3,0.48375769004004665,pembayaran
Tatu Hikmah Wijayanti,recommended commerce ulasan pesaing real ulasan costumer enggak bisa cancel pesan menghubungi cancel pesan diproses dibayar refund uang otomatis follow menunggu weekday menunggu kerja payah berbelit prosesnya kalah commerce cancel refund uang otomatis ribet menghubungi,2,0,missing,2021-12-27 09:37:09,Negative,"['recommended', 'commerce', 'pesaing', 'costumer', 'cancel', 'menghubungi', 'cancel', 'diproses', 'dibayar', 'refund', 'otomatis', 'follow', 'menunggu', 'weekday', 'menunggu', 'payah', 'berbelit', 'prosesnya', 'kalah', 'commerce', 'cancel', 'refund', 'otomatis', 'ribet', 'menghubungi']",4,0.5231535211068387,order
Muhammad Mukhlisin,install susah,2,0,missing,2021-12-27 07:50:09,Negative,"['install', 'susah']",7,0.9523392409730997,app performance
Nurfatiha Dewi,sistem asli,1,0,8.3.0,2021-12-27 07:11:14,Negative,"['sistem', 'asli']",0,0.9523646501904169,barang
fahmi ayatun,enggak ada reward pengguna,1,0,missing,2021-12-27 04:11:35,Negative,"['reward', 'pengguna']",5,0.9523624943707398,ongkir
Indra Wan,ach unduh buka perbaikan benar,1,18,8.3.5,2021-12-27 02:26:26,Negative,"['ach', 'buka', 'perbaikan']",9,0.9677401412240278,error
Juara Siomay,force close,1,0,8.3.0,2021-12-26 20:38:58,Negative,"['force', 'close']",6,0.9523751751421609,akun
Revalina Airy,aplikasi hapus ongkos kirim masuk akal memilih jasa pengiriman,1,1,8.3.5,2021-12-26 19:49:04,Negative,"['aplikasi', 'hapus', 'ongkos', 'kirim', 'akal', 'memilih', 'jasa', 'pengiriman']",5,0.709687983325528,ongkir
Yahya Ridani,bodoh batalkan dibawah pesan bemtuk vovher dipakai vochernya kupon gratis ongkirx dipakai doble tambah mahal pembelian barang jdinya tolong diperbaiki,1,0,8.3.0,2021-12-26 19:20:57,Negative,"['bodoh', 'batalkan', 'dibawah', 'bemtuk', 'vovher', 'dipakai', 'vochernya', 'kupon', 'gratis', 'ongkirx', 'dipakai', 'mahal', 'barang', 'jdinya', 'diperbaiki']",9,0.12044498057213285,error
Vhebuccy Felysia,paylater aktifkan,2,2,8.3.0,2021-12-26 16:42:33,Negative,"['paylater', 'aktifkan']",1,0.9523809522427453,kredit
Setiadi Prasetia,niatnya paylater belanja pengajuan tolak kayaknya tingi,1,3,missing,2021-12-26 04:46:27,Negative,"['paylater', 'belanja', 'tolak', 'kayaknya', 'tingi']",9,0.26078432384465056,error
Heru Setiawan,pengirim penjualnya cancel susah,1,0,8.3.0,2021-12-26 00:59:59,Negative,"['penjualnya', 'cancel', 'susah']",4,0.5636798031687625,order
Neng Irfaha,enggak tau,1,0,missing,2021-12-25 20:19:41,Negative,[],0,0.0,barang
Driver Online,aplikasi lemot daftar paylater indodana ujung gal disimpan enggak canggih aplikasinya canggih aplikasi oren,1,0,missing,2021-12-25 15:30:26,Negative,"['aplikasi', 'lemot', 'daftar', 'paylater', 'indodana', 'gal', 'disimpan', 'canggih', 'aplikasinya', 'canggih', 'aplikasi', 'oren']",6,0.2871823504387978,akun
David Afandi,tunggu sebentar,2,0,8.3.0,2021-12-25 14:28:17,Negative,"['tunggu', 'sebentar']",9,0.9523417243730954,error
Musik Saya,update,2,0,missing,2021-12-25 11:58:11,Negative,['update'],8,0.9090903744627351,iklan
Heri Sunaryo,ngawur aplikasi klaim reward memuter dipakai,1,0,missing,2021-12-25 10:33:53,Negative,"['aplikasi', 'klaim', 'reward', 'memuter', 'dipakai']",9,0.20925833561725074,error
Dodi Saputra,aplikasi berpaidah unduh penipu,1,0,missing,2021-12-25 10:23:24,Negative,"['aplikasi', 'berpaidah', 'penipu']",8,0.4169893617204376,iklan
Maruli Pandapotan Purba,sempal berat buka dashboard seller pakai data enggak bisa pakai wifi buka pakai data,1,65,8.3.5,2021-12-25 09:56:29,Negative,"['berat', 'buka', 'dashboard', 'seller', 'pakai', 'data', 'pakai', 'wifi', 'buka', 'pakai', 'data']",3,0.39148134225352005,pembayaran
Agus Wahyudi,belanja bahaya belanja dibli,1,0,8.3.5,2021-12-25 09:20:38,Negative,"['belanja', 'bahaya', 'belanja', 'dibli']",3,0.9756045554857672,pembayaran
amy nugraha,ribet,1,0,missing,2021-12-25 00:41:50,Negative,['ribet'],3,0.9090800853287391,pembayaran
Wah Endi,kenapa chek gula gratis dapat vocer gratis ongkos kirim sudah chek batal indikasi kecurangan jaringan memuter enggak adil penguna sudah vocer angus,1,0,8.3.0,2021-12-25 00:33:30,Negative,"['chek', 'gula', 'gratis', 'vocer', 'gratis', 'ongkos', 'kirim', 'indikasi', 'kecurangan', 'memuter', 'adil', 'penguna', 'vocer', 'angus']",5,0.7207340049648562,ongkir
Anggi Mandasari,proses penarikan saldo blipay di zaman secanggih menyangka ecommerce merugikan karena proses penarikan saldo blipay betul² status berhasil menunggu kerja,1,83,8.3.0,2021-12-24 20:59:35,Negative,"['proses', 'penarikan', 'blipay', 'zaman', 'secanggih', 'ecommerce', 'merugikan', 'proses', 'blipay', 'betul²', 'status', 'berhasil', 'menunggu', 'kerja']",3,0.2892876513351172,pembayaran
1iwan 99325,kenapa payah later ditolak,1,0,8.3.0,2021-12-24 17:25:54,Negative,"['payah', 'ditolak']",1,1.9589343014683265e-05,kredit
Dinda permatasari,pesan tiket taman safari tiketnya dkirim legal enggak komplain refund tiketnya dikirim,1,3,8.3.0,2021-12-24 16:37:06,Negative,"['tiket', 'taman', 'safari', 'komplain', 'refund', 'tiketnya', 'dikirim']",4,0.9859121567337831,order
Eti Rosita,geratis ongkos kirim pengguna geratis ongkos kirim bohong instal,1,0,8.3.0,2021-12-24 04:39:58,Negative,"['geratis', 'geratis', 'ongkos', 'kirim', 'instal']",5,4.4809152661728174e-06,ongkir
Tio Aili,hati marketplace abal belanja imingi cashback blipay barang terima cashback masuk komplain sesuai promo sesuainy sesuai promo proses batalin customer tipu mending beli tokopedia barang terima cashback detik langsung masuk gopay free ongkos kirim,1,18,8.2.1,2021-12-24 01:50:11,Negative,"['marketplace', 'belanja', 'imingi', 'cashback', 'blipay', 'barang', 'terima', 'cashback', 'masuk', 'komplain', 'promo', 'sesuai', 'promo', 'proses', 'customer', 'tipu', 'mending', 'tokopedia', 'barang', 'terima', 'cashback', 'detik', 'gopay', 'ongkos', 'kirim']",3,0.6497132819092906,pembayaran
Endang Hairudin,mengadakan promo gratis ongkos kirim dipakai sekalinya dibatalkan,1,0,missing,2021-12-24 00:33:32,Negative,"['promo', 'gratis', 'ongkos', 'kirim', 'sekalinya', 'dibatalkan']",5,0.5795591973169816,ongkir
ad od,batas kiriman dikirim batas seller kirim barangnya solusinya cancel menunggu sampai ecommerc bintang,1,68,8.3.0,2021-12-24 00:27:02,Negative,"['batas', 'kiriman', 'batas', 'seller', 'kirim', 'solusinya', 'cancel', 'menunggu', 'ecommerc', 'bintang']",4,0.8488867606649249,order
Inisial S!!,waktu iklan menyindir merek oren unduh enak pakai merek oren,2,0,8.3.0,2021-12-23 23:10:20,Negative,"['iklan', 'menyindir', 'oren', 'pakai', 'merek', 'oren']",8,0.5411977711171345,iklan
Mulyana Trk,bagus,1,0,missing,2021-12-23 21:35:03,Negative,[],0,0.0,barang
daffa zaidan,parah saldo toko bekum masuk² rekening janji oling lambat masuk² disuruh menunggu saldo uang tahan² kayak begitu proses pencairan kapok pakai,1,0,missing,2021-12-23 21:00:38,Negative,"['parah', 'saldo', 'toko', 'bekum', 'masuk²', 'rekening', 'janji', 'oling', 'lambat', 'masuk²', 'disuruh', 'menunggu', 'saldo', 'tahan²', 'proses', 'pencairan', 'kapok']",2,0.1440308427458182,pencarian
Dara Puspita,rate bahaya seller dibli,1,0,8.3.0,2021-12-23 17:20:08,Negative,"['rate', 'bahaya', 'seller', 'dibli']",4,0.5015044017262578,order
Rusminah,benaran sampai takutnya berminggu minggu,1,0,missing,2021-12-23 15:25:53,Negative,"['benaran', 'takutnya', 'berminggu', 'minggu']",1,1.1636031913292372e-05,kredit
Yenny Brilliant,seller menipu lapak pnilaian cost dipersulit kesal toko pigeon bedak dipajang dkirim bedak hrga murah kembalikan toko dan darah tgrg padahal nama dan tipu najis,1,1,missing,2021-12-23 12:26:07,Negative,"['seller', 'menipu', 'cost', 'dipersulit', 'kesal', 'toko', 'pigeon', 'bedak', 'dipajang', 'bedak', 'hrga', 'murah', 'kembalikan', 'toko', 'darah', 'tgrg', 'nama', 'tipu', 'najis']",2,0.4176123742748082,pencarian
Siti Rahmayanti,enggak jelas auto uninstall,1,0,missing,2021-12-23 10:00:35,Negative,"['auto', 'uninstall']",3,0.9523689941058696,pembayaran
Fanny Andriyana,uninstall aplikasi pakai pakai limit paylater jatuh tempo ganti aduh mengganggu pagi siang sore katakutan dibayar buka paylater begitu,1,0,missing,2021-12-23 08:49:08,Negative,"['aplikasi', 'pakai', 'pakai', 'limit', 'paylater', 'jatuh', 'tempo', 'ganti', 'aduh', 'mengganggu', 'pagi', 'siang', 'dibayar', 'buka', 'paylater']",3,0.4533754452785952,pembayaran
Saya Sop,aplikasi harganya mahal kurir,1,0,8.3.0,2021-12-23 00:31:16,Negative,"['aplikasi', 'harganya', 'mahal', 'kurir']",5,0.42067686877235116,ongkir
wiwik tri andayani,susah buka aplikasi loading ulasan tinggal copy paste ayo semangat bintang meningkat bintang,2,75,8.3.0,2021-12-22 16:34:41,Negative,"['susah', 'buka', 'loading', 'copy', 'paste', 'ayo', 'semangat', 'bintang', 'meningkat', 'bintang']",9,0.5277156875238699,error
honda beat,pencet,1,0,missing,2021-12-22 14:43:42,Negative,['pencet'],9,0.9090762798969221,error
Alfin Hibatullah,pelayan lambat tanggap,1,0,missing,2021-12-22 13:57:14,Negative,"['lambat', 'tanggap']",4,0.9523561676380564,order
Joshua Rusli,beli diskripsi repack harga miring namanya dikasih repack aktifasi garansinya terus pintarnya komplain diganti namanya menipu halus finish beli disini,1,41,8.3.0,2021-12-22 13:43:53,Negative,"['diskripsi', 'repack', 'harga', 'miring', 'repack', 'aktifasi', 'garansinya', 'pintarnya', 'komplain', 'menipu', 'halus', 'beli']",8,0.7550275927175856,iklan
Sastro Sugito,pengalaman peetama beli produk digital dikirim iklanya mantab kenyataanya,1,0,8.3.0,2021-12-22 13:31:32,Negative,"['peetama', 'beli', 'produk', 'iklanya', 'mantab', 'kenyataanya']",1,0.9835973380407859,kredit
Pay Djoe Devillock,sudah berhari pesan progres seller kirim barang opsi batalkan pesan bagusan tokopedia,1,0,8.3.0,2021-12-22 12:49:51,Negative,"['berhari', 'progres', 'seller', 'barang', 'opsi', 'batalkan', 'tokopedia']",4,0.9859073331302335,order
bambang hermawan,bersaing shop gratis ongkos kirim minimal pembelian kalah telak toko kota gratis ongkos kirim kiriman instan perubahan tinggal menunggu,2,66,8.3.0,2021-12-22 12:36:00,Negative,"['bersaing', 'shop', 'gratis', 'ongkos', 'kirim', 'kalah', 'telak', 'toko', 'kota', 'gratis', 'ongkos', 'kiriman', 'instan', 'perubahan', 'tinggal', 'menunggu']",5,0.4327451529945022,ongkir
Stev Beat,bagus kasih bintang,1,0,missing,2021-12-22 11:56:13,Negative,"['kasih', 'bintang']",9,0.9523788849918426,error
astro bizzar,aplikasi jancuk ngejak kere ngejak gembel penarikan matamu goblok kerja kulak apki kadi goblok jancuk mukamu tahi sistem jancukbtak sebar apli kasih koyok tahi,1,0,8.3.0,2021-12-22 11:46:45,Negative,"['aplikasi', 'jancuk', 'ngejak', 'gembel', 'penarikan', 'matamu', 'goblok', 'kerja', 'kulak', 'apki', 'kadi', 'goblok', 'jancuk', 'mukamu', 'tahi', 'sistem', 'jancukbtak', 'sebar', 'apli', 'kasih', 'koyok', 'tahi']",3,0.7209760841164495,pembayaran
ahmad saifullah,berkali pesan dibatalkan alasan,1,0,missing,2021-12-22 10:42:07,Negative,"['berkali', 'dibatalkan', 'alasan']",3,0.9677163605408412,pembayaran
Prasetyo S,aplikasi berat,2,0,8.3.0,2021-12-22 09:21:14,Negative,"['aplikasi', 'berat']",7,0.00014046875300969297,app performance
enime muvi,tolong perbaiki cuma masuk susah bacaan maam antrean penuh goblok tolong perbaiaki sinyal penuh buka aplikasi toko lancar menyesal belanja masuk aplikasi kayak maingem,1,2,8.3.0,2021-12-22 08:08:17,Negative,"['perbaiki', 'masuk', 'susah', 'bacaan', 'penuh', 'goblok', 'perbaiaki', 'sinyal', 'penuh', 'buka', 'aplikasi', 'toko', 'lancar', 'menyesal', 'belanja', 'masuk', 'aplikasi', 'maingem']",9,0.7086510386801128,error
loro uteg,tanggung kasih bonus diskon user gula pilihan sudah begitu ongkos kirim mahal menyarankan mending tokopedia belanja,1,1,8.3.0,2021-12-22 07:45:59,Negative,"['tanggung', 'kasih', 'bonus', 'user', 'gula', 'pilihan', 'ongkos', 'mahal', 'menyarankan', 'mending', 'tokopedia', 'belanja']",3,0.043564159862034366,pembayaran
yuya kudus,kesini berat masuk akun loading jaringan,2,2,8.3.0,2021-12-22 07:26:35,Negative,"['kesini', 'berat', 'masuk', 'loading', 'jaringan']",6,0.03170273171407808,akun
Gaming Aar,donwlod chip domino penipu,1,0,8.3.0,2021-12-22 01:39:20,Negative,"['donwlod', 'chip', 'domino', 'penipu']",8,0.5612510397125324,iklan
Muslie Anwar,formulir tolak jangalah unduh buang,1,0,missing,2021-12-21 21:21:20,Negative,"['formulir', 'tolak', 'jangalah', 'unduh', 'buang']",1,0.3759892165481499,kredit
Achmad Wasila,terburuk pakai promo penawaran ongkos kirim sulit dipakai warga,1,4,8.3.0,2021-12-21 20:46:34,Negative,"['terburuk', 'pakai', 'promo', 'penawaran', 'ongkos', 'sulit', 'dipakai', 'warga']",3,0.8347018125570055,pembayaran
Aghna Iyyah,aplikasinya fitur batal transaksi chat penjualnya loadingnya kerjamasa pengiriman samedaynya enggak lacak resi,1,0,8.3.0,2021-12-21 16:40:07,Negative,"['aplikasinya', 'fitur', 'transaksi', 'chat', 'penjualnya', 'loadingnya', 'kerjamasa', 'pengiriman', 'samedaynya', 'resi']",4,0.7428579344371574,order
3rims Brother,unggah produk susah giliran sudah unggah eh tahan anjurkan reseller usaha mikro kecil dan menengah mending toped shopee bukalapak dach laporan uninstall,1,0,missing,2021-12-21 16:18:51,Negative,"['produk', 'susah', 'giliran', 'tahan', 'reseller', 'mikro', 'menengah', 'mending', 'toped', 'bukalapak', 'dach', 'laporan']",1,0.9917277820677044,kredit
KHAIRIL AZMI,kode verifikasi sudah nomor enggak bisa menyesal unduh,1,0,8.3.0,2021-12-21 16:12:26,Negative,"['kode', 'verifikasi', 'nomor', 'menyesal', 'unduh']",6,0.9803887684878491,akun
Ahmad Malau,aplikasi sampah,1,0,8.3.0,2021-12-21 15:35:26,Negative,"['aplikasi', 'sampah']",8,0.952376319653482,iklan
bang jhooo,produk viagra beli produk kasih bintang produk cari,1,180,missing,2021-12-21 14:54:04,Negative,"['produk', 'viagra', 'beli', 'produk', 'kasih', 'bintang', 'produk', 'cari']",9,0.35388263837436207,error
Nunuk Rustini,heran penilaian produk toko bintang lucu memberitahu buyer beli seller pengalaman waktu mengasih bintang muncul server perbaikan toko lawak tolong perbaiki kejuran kasihan buyer kayak kena tipu produk rusak kasih penilaian padahal karena tokonya viral twitter,1,42,8.3.0,2021-12-21 14:31:54,Negative,"['heran', 'produk', 'toko', 'bintang', 'lucu', 'memberitahu', 'buyer', 'seller', 'pengalaman', 'mengasih', 'bintang', 'muncul', 'server', 'perbaikan', 'toko', 'lawak', 'perbaiki', 'kejuran', 'kasihan', 'buyer', 'kena', 'tipu', 'produk', 'rusak', 'kasih', 'tokonya', 'twitter']",9,0.16636985292538542,error
Kayko Syamran,cuma biru ecomers ngecewain custemer beda oren hijau simerah ungu merah muda memperbaiki broh ecomersnya,1,0,missing,2021-12-21 11:20:52,Negative,"['biru', 'ecomers', 'ngecewain', 'beda', 'oren', 'hijau', 'merah', 'muda', 'memperbaiki', 'broh', 'ecomersnya']",1,0.6779268806086118,kredit
VICKY FAJRI APPLE,but,1,0,8.3.0,2021-12-21 10:22:39,Negative,[],0,0.0,barang
Rafiun Putra Wolbar Official,komplain limit payleter aktif transaksi tolong aktifkan,1,1,8.3.0,2021-12-21 06:29:44,Negative,"['limit', 'payleter', 'aktif', 'transaksi', 'aktifkan']",1,0.31263466278026864,kredit
Queen 040209,spaylater limit pakai belanja cilan,1,0,8.3.0,2021-12-21 06:22:19,Negative,"['spaylater', 'limit', 'pakai', 'belanja', 'cilan']",3,0.07304665959441761,pembayaran
Zee,pengalaman belanja terburuk aplikasi doang berebut sepatu aerostreet ribuan suruh menunggu kocak aplikasi sesuain estimasi aduh,1,0,8.3.0,2021-12-21 05:44:54,Negative,"['pengalaman', 'belanja', 'terburuk', 'aplikasi', 'doang', 'berebut', 'aerostreet', 'suruh', 'menunggu', 'kocak', 'aplikasi', 'sesuain', 'estimasi', 'aduh']",4,0.9929026486517577,order
rifday akbar,pesan dikirim niat jualan jawabnnya sabar kapok,1,0,missing,2021-12-20 22:58:47,Negative,"['niat', 'jualan', 'jawabnnya', 'sabar', 'kapok']",3,0.20793142779823864,pembayaran
Kurnia Kurnia,ganti turun bintang hang reload versi jelek,1,0,missing,2021-12-20 17:31:59,Negative,"['ganti', 'turun', 'bintang', 'hang', 'reload', 'versi']",9,0.4873407499859249,error
munawir syam,iklannya miris penjualnya kabar melapor disuruh tunggu maksimal penjualnya kejelasan kasih opsi batalkan pesan progress untung belanjanya memberatkan,1,71,8.3.0,2021-12-20 17:07:18,Negative,"['miris', 'penjualnya', 'kabar', 'melapor', 'disuruh', 'tunggu', 'penjualnya', 'kejelasan', 'batalkan', 'progress', 'belanjanya', 'memberatkan']",4,0.9917344870241328,order
Nofri Yanda,kasih bintang data sudah pengjuan paylatter eh ditolak begitu sudah terlanjur verifikasi data mohon menjaga data bocor,2,0,missing,2021-12-20 15:17:55,Negative,"['kasih', 'bintang', 'data', 'pengjuan', 'paylatter', 'ditolak', 'terlanjur', 'verifikasi', 'data', 'mohon', 'menjaga', 'data', 'bocor']",6,0.6288288763291325,akun
erwin amruljani,deal mengalami gangguan perihal tarik tunai blipay saldo dana email kirim berhasil saldo dana nomor rekening transfer bank permata bank mohon tindak lanjuti pengaduan berhasil transfer nomor rekening angka terima kasih,1,50,8.3.0,2021-12-20 14:21:08,Negative,"['deal', 'mengalami', 'gangguan', 'perihal', 'tarik', 'tunai', 'blipay', 'saldo', 'dana', 'email', 'kirim', 'berhasil', 'saldo', 'dana', 'nomor', 'rekening', 'transfer', 'bank', 'bank', 'mohon', 'pengaduan', 'berhasil', 'transfer', 'nomor', 'rekening', 'terima', 'kasih']",3,0.6806630090844893,pembayaran
Achmad Bahraen,bintang berbicara pengalaman pakai,1,0,8.2.1,2021-12-20 13:38:42,Negative,"['bintang', 'berbicara', 'pengalaman', 'pakai']",9,0.4051217565320586,error
Batik Laras,buruk,1,0,missing,2021-12-20 13:38:30,Negative,[],0,0.0,barang
hendi supriatna,paylater kesal tagihan ditelponin sehari mengganggu,2,0,8.2.1,2021-12-20 06:10:57,Negative,"['paylater', 'kesal', 'ditelponin', 'sehari', 'mengganggu']",1,0.6941834265574898,kredit
alfarisi Sukron,mengomong doang gratis ongkos kirim mahal ongkos kirim beda diskon belanja gratis ongkos kirim gratis belanja mentok,1,0,8.3.0,2021-12-20 06:10:22,Negative,"['gratis', 'ongkos', 'kirim', 'ongkos', 'kirim', 'diskon', 'belanja', 'gratis', 'ongkos', 'kirim', 'gratis', 'belanja', 'mentok']",5,0.9923656868797781,ongkir
Adi Prabowo,kerja sama polis asuransi pemegang polis asuransinya,1,0,missing,2021-12-20 04:12:51,Negative,"['kerja', 'polis', 'asuransi', 'pemegang', 'polis', 'asuransinya']",5,0.7382981692122205,ongkir
Nany kartika,order masuk saldo gopay terpotong kejelasan komplain tanggapan ribu melayang tolong bantu,1,0,missing,2021-12-20 01:01:46,Negative,"['order', 'masuk', 'saldo', 'gopay', 'komplain', 'tanggapan', 'ribu', 'melayang', 'bantu']",3,0.18647997901392246,pembayaran
DONNY CELVIAN,timbul lambat transaksi tanggal pembelian kupon dana masuk komplain berkali tindakan menunggu status proses refund berhasil sampi tanggal saldo masih transfer menunggu sampai kerja tanggal kejelasan apapun saldo transfer komplain menunggu bukanmaen,1,4,8.2.1,2021-12-20 00:48:35,Negative,"['timbul', 'lambat', 'kupon', 'dana', 'masuk', 'komplain', 'berkali', 'tindakan', 'menunggu', 'status', 'proses', 'tanggal', 'saldo', 'transfer', 'menunggu', 'kejelasan', 'apapun', 'transfer', 'komplain', 'menunggu', 'bukanmaen']",4,0.6188238755842753,order
Papi Hendrik,pelanggan terpilih doang turunkan bintangnya adil kayak toko merasakan playleter,1,0,5.8.0,2021-12-20 00:27:59,Negative,"['terpilih', 'doang', 'bintangnya', 'adil', 'toko', 'merasakan', 'playleter']",5,0.6582206507182834,ongkir
